APOGEE_ID,LOGG,TEFF,MG_FE,FE_H,C_FE,N_FE,LOGG_ERR,TEFF_ERR,MG_FE_ERR,FE_H_ERR,C_FE_ERR,N_FE_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr,LOGG_NORM,LOGG_ERR_NORM,TEFF_NORM,TEFF_ERR_NORM,MG_FE_NORM,MG_FE_ERR_NORM,FE_H_NORM,FE_H_ERR_NORM,C_FE_NORM,C_FE_ERR_NORM,N_FE_NORM,N_FE_ERR_NORM
2M19390009+3901414,2.6257216930389404,4589.51513671875,0.050053000450134284,0.23353999853134155,0.027340590953826904,0.396079957485199,0.020703582093119614,7.477180957794189,0.009956937283277513,0.0077423714101314545,0.009772544726729393,0.01229229848831892,4.8762,6.4017,3.6728,1.36445,0.6880815101364743,0.12064901918960558,1.5497099,1.5757415000000001,1.5214232,0.02715915000000007,0.1902504074472029,0.0076174693107127905,-0.13212521196453542,0.06263155699463407,-0.6925009571806052,0.03974874163270447,-0.48931152346074475,0.10691913954632484,1.3494102814672377,0.0322461439827585,0.5967607407833206,0.11734456010635695,1.574520038811655,0.11910567878705278
2M19363005+4614500,2.464895248413086,4614.21337890625,0.3074529767036438,-0.4688499867916107,0.13333997130393982,0.09163498878479004,0.028191732242703438,8.826153755187988,0.014350248500704762,0.009223929606378078,0.016445761546492577,0.019281361252069473,10.1273,12.7312,7.9195,2.40585,1.0054936752321704,0.10308578878696473,2.2254490000000002,2.2572651,2.1902822,0.03349144999999998,0.34741764612590303,0.006541246587638827,-0.618650229110049,0.08528437623956547,-0.5612049442802416,0.04691988962227659,2.27468941350314,0.154095197983033,-1.575968442825581,0.03841667448100974,1.8695562108014179,0.19747370907485945,-1.3753859274991476,0.18682589119101203
2M19093153+4421452,2.8124234676361084,4951.60107421875,0.046724006533622735,-0.25099000334739685,-0.06994500756263733,0.1921900063753128,0.0243871808052063,9.754380226135254,0.011829394847154616,0.007212524302303791,0.015494370833039284,0.018753403797745705,2.5049,3.1665,2.0184,0.57405,0.39879039275213934,0.0977861274269097,0.9410754000000001,0.9539017,0.9263175,0.013792100000000005,-0.02637557902536217,0.006371876971519636,0.43267670415257486,0.07377501621071288,1.2323501945787254,0.05185434745853637,-0.5250587773584013,0.12702587978892757,-0.6686050496111207,0.03003938778071149,-0.5714033435798679,0.1860498140832002,-0.4010625625935203,0.1817102709489822
2M19081825+4015596,2.8682858943939213,4627.47509765625,0.07847198843955994,0.3026899993419647,0.00038498640060424816,0.3418799936771393,0.018330251798033714,6.6164984703063965,0.008532785810530186,0.006611033342778683,0.008272483013570309,0.010644692927598952,4.691,5.8559,3.7584,1.04875,0.6712654329471583,0.09629532616128783,1.5374012,1.560398,1.5153048999999998,0.022546549999999912,0.18678721571671086,0.006367678696930848,0.6016692364401768,0.05545186359784921,-0.4907055628723519,0.03517334804305433,-0.18414401500310984,0.0916263797631023,1.637412595542398,0.027534242643939385,0.2730893074823008,0.09933245713980941,1.0493519031918461,0.10314127807962153
2M19433759+4337360,2.838371753692627,4605.8994140625,0.03241798281669617,0.3031800091266632,0.037048965692520135,0.2986099421977997,0.022149309515953064,8.561275482177733,0.010867510922253132,0.008637148886919022,0.010810735635459423,0.013465731404721735,6.5939999999999985,7.8623,5.0699,1.3962000000000003,0.8191489428071342,0.09527510889682428,1.5189042,1.5407768999999998,1.497959,0.021408950000000003,0.18153038299813684,0.006119916030296019,0.5111743066327759,0.06700510738193591,-0.6054020343845177,0.04551179503456614,-0.6786790827420677,0.11669702075647864,1.6394534335793942,0.03597279591155447,0.7133347749694903,0.12981071492047938,0.6300886663370864,0.13047560477380304
2M19280046+4213570,3.04963493347168,5102.46337890625,-0.04884699732065202,-0.0633850023150444,-0.15672001242637634,0.3007200062274933,0.02258510515093804,10.446136474609377,0.010711630806326866,0.006567770149558783,0.014684411697089672,0.018155736848711967,1.0936,1.1347,0.9795,0.0776,0.038858501559765835,0.031938307266008305,1.1498178999999995,1.1600624,1.1391735,0.01044444999999996,0.06062906532118857,0.003945738501348496,1.1502782948067196,0.06832345698094781,2.034335167924456,0.05553172808481968,-1.5513150655082837,0.11502315585273873,0.1127495967519477,0.027354056098522917,-1.6133606902790907,0.1763241693130953,0.6505340377848774,0.17591920366234773
2M19244938+4930107,2.666428327560425,4630.19921875,0.09398099780082704,0.026205999776721,0.01987109892070293,0.2317960113286972,0.024821627885103226,9.130855560302734,0.012396330945193771,0.00911833718419075,0.013107450678944588,0.015978792682290074,9.9983,10.9345,6.5313,2.2016,0.99992616366181,0.11189964819888633,2.0234685000000003,2.0607527,1.983809,0.038471850000000016,0.30609644797509616,0.008263010661711673,-0.008981309202927543,0.07508928622076874,-0.4762241177738756,0.0485396863604978,-0.01760586286394673,0.1331137276939155,0.48588648207758134,0.03797689340245218,0.5070702577663948,0.15738869220312884,-0.017301941380249073,0.15482580010811514
2M19431934+3853069,2.589855432510376,4600.265625,0.2203729897737503,-0.12780000269412994,0.06799599528312683,0.1946600079536438,0.022417031228542328,7.224395751953125,0.01085197739303112,0.007580483332276343,0.011277838610112669,0.013949059881269932,12.611,15.6275,9.8855,2.8710000000000004,1.1007495256898598,0.09944543356604983,1.4672628,1.4910219999999998,1.4485048,0.0212586,0.16650790686860356,0.006282056408029341,-0.24062623030887825,0.067815007215951,-0.6353512929516837,0.03840493386714912,1.3396109843273067,0.11653021930626518,-0.15553194992706504,0.03157189755474849,1.0849335422767963,0.135419488747335,-0.3771295922973818,0.1351587945231481
2M19261844+4708218,2.6140944957733154,4671.28515625,0.0821181982755661,-0.22376999258995056,0.0350240021944046,0.14688999950885773,0.02354112826287746,7.808564186096191,0.01146810594946146,0.007659405469894409,0.012623128481209278,0.01545852702111006,7.8393,9.5029,6.5313,1.4858000000000002,0.8942772846602238,0.08142826332105241,1.9755796,2.0021098999999998,1.9515064,0.02530174999999997,0.295694532951561,0.005558966617001865,-0.1672992927083627,0.07121557563724161,-0.2578110121337625,0.04151037698666194,-0.1449904472764284,0.1231463034724363,-0.5552366331917971,0.03190059976731982,0.6890198746479933,0.15157315727008852,-0.8399949617713053,0.1497847091532115
2M19402664+4355573,2.8127920627593994,5093.37548828125,-0.0010639950633049011,-0.09841799736022948,-0.3136780261993408,0.4713420271873474,0.022865708917379383,10.446176528930664,0.010877911932766438,0.006637651938945055,0.014939173124730587,0.01840011775493621,0.5485,0.6681,0.4537,0.10720000000000003,-0.26082336808927004,0.08403634624384199,1.4866143,1.5014188,1.4718381,0.01479034999999999,0.1721983060407377,0.004320904348048896,0.43379176174833345,0.0691723270321174,1.986023883433895,0.05553194101384696,-1.0382137632759212,0.11680870842336417,-0.03315905868868848,0.02764510623328832,-3.498045754035263,0.17938323616769086,2.303768511529046,0.17828712157014126
